Sigma = 0.5000, Anchorss = 3.0000, p_without = 6.3591, e_without = 0.7082, p_with = 20.2303, e_with = 7.9738
Sigma = 0.5000, Anchorss = 3.0000, p_without = 6.3591, e_without = 0.7082, p_with = 8.6844, e_with = 7.7133
Sigma = 0.5000, Anchorss = 4.0000, p_without = 6.3591, e_without = 0.7082, p_with = 8.5155, e_with = 7.5320
Sigma = 0.5000, Anchorss = 5.0000, p_without = 6.3591, e_without = 0.7082, p_with = 4.9054, e_with = 7.1070
Sigma = 0.5000, Anchorss = 6.0000, p_without = 6.3591, e_without = 0.7082, p_with = 6.9305, e_with = 7.3450
Sigma = 0.5000, Anchorss = 7.0000, p_without = 6.3591, e_without = 0.7082, p_with = 7.4439, e_with = 7.3768
Sigma = 0.5000, Anchorss = 8.0000, p_without = 6.3591, e_without = 0.7082, p_with = 5.0446, e_with = 7.2713
Sigma = 0.5000, Anchorss = 10.0000, p_without = 6.3591, e_without = 0.7082, p_with = 6.8915, e_with = 7.3445
Sigma = 0.5000, Anchorss = 12.0000, p_without = 6.3591, e_without = 0.7082, p_with = 9.3942, e_with = 6.9317
Sigma = 1.0000, Anchorss = 3.0000, p_without = 4.8382, e_without = 0.9237, p_with = 11.2066, e_with = 2.2860
Sigma = 1.0000, Anchorss = 4.0000, p_without = 4.8382, e_without = 0.9237, p_with = 11.2832, e_with = 7.9875
Sigma = 1.0000, Anchorss = 5.0000, p_without = 4.8382, e_without = 0.9237, p_with = 11.1503, e_with = 8.0093
Sigma = 1.0000, Anchorss = 6.0000, p_without = 4.8382, e_without = 0.9237, p_with = 8.5281, e_with = 8.1637
Sigma = 1.0000, Anchorss = 7.0000, p_without = 4.8382, e_without = 0.9237, p_with = 9.6603, e_with = 7.9608
Sigma = 1.0000, Anchorss = 8.0000, p_without = 4.8382, e_without = 0.9237, p_with = 8.4080, e_with = 1.5446
Sigma = 1.0000, Anchorss = 10.0000, p_without = 4.8382, e_without = 0.9237, p_with = 4.7879, e_with = 1.6453
Sigma = 1.0000, Anchorss = 12.0000, p_without = 4.8382, e_without = 0.9237, p_with = 4.4706, e_with = 1.4178
Sigma = 1.5000, Anchorss = 3.0000, p_without = 6.1305, e_without = 0.8389, p_with = 11.5663, e_with = 8.6930
Sigma = 1.5000, Anchorss = 4.0000, p_without = 6.1305, e_without = 0.8389, p_with = 9.8228, e_with = 8.5317
Sigma = 1.5000, Anchorss = 5.0000, p_without = 6.1305, e_without = 0.8389, p_with = 9.7319, e_with = 8.3836
Sigma = 1.5000, Anchorss = 6.0000, p_without = 6.1305, e_without = 0.8389, p_with = 9.6374, e_with = 8.0707
Sigma = 1.5000, Anchorss = 7.0000, p_without = 6.1305, e_without = 0.8389, p_with = 9.7303, e_with = 8.9357
Sigma = 1.5000, Anchorss = 8.0000, p_without = 6.1305, e_without = 0.8389, p_with = 9.3691, e_with = 8.7521
Sigma = 1.5000, Anchorss = 10.0000, p_without = 6.1305, e_without = 0.8389, p_with = 8.4425, e_with = 8.3279
Sigma = 1.5000, Anchorss = 12.0000, p_without = 6.1305, e_without = 0.8389, p_with = 8.1762, e_with = 8.1052
Sigma = 2.0000, Anchorss = 3.0000, p_without = 6.5744, e_without = 7.9474, p_with = 9.0727, e_with = 8.0073
Sigma = 2.0000, Anchorss = 4.0000, p_without = 6.5744, e_without = 7.9474, p_with = 10.3703, e_with = 8.1461
Sigma = 2.0000, Anchorss = 5.0000, p_without = 6.5744, e_without = 7.9474, p_with = 7.0352, e_with = 7.5211
Sigma = 2.0000, Anchorss = 6.0000, p_without = 6.5744, e_without = 7.9474, p_with = 8.1956, e_with = 7.6393
Sigma = 2.0000, Anchorss = 7.0000, p_without = 6.5744, e_without = 7.9474, p_with = 7.7271, e_with = 7.9282
